"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","diversity.desirability"
1,0,0,0,0,1,"wet",10074.5859884317,0,0,0,0,69.2863079044862,0.0408657400264067
0,1,0,0,0,1,"wet",0,3742.9676508044,0,0,0,6.42459500703309e-279,1.113609653512e-279
1,1,0,0,0,1,"wet",5.24664394813648e-45,3742.9676508044,0,0,0,6.2433651426763e-279,1.54451956183288e-46
0,0,1,0,0,1,"wet",0,0,7.05405851226961e-108,0,0,8130.19921373607,2.21879780716928e-109
1,0,1,0,0,1,"wet",10074.5770975921,0,0,0,0,69.3071942792377,0.0408759523932791
0,1,1,0,0,1,"wet",0,3742.9676508044,0,0,0,6.56298312309938e-279,1.13755984277878e-279
1,1,1,0,0,1,"wet",4.98065575385076e-45,3742.9676508044,0,0,0,6.38996247362664e-279,1.46690963133341e-46
0,0,0,1,0,1,"wet",0,0,0,1661.90085269464,0,5415.10438963565,0.545048227695586
1,0,0,1,0,1,"wet",10074.6143443369,0,0,1.69014418092046e-255,0,69.2196937193981,0.040833164799614
0,1,0,1,0,1,"wet",0,3742.9676508044,0,0,0,7.52033665779165e-279,1.3032240531902e-279
1,1,0,1,0,1,"wet",5.90630557935737e-45,3742.9676508044,0,0,0,7.20723996126986e-279,1.7368435019745e-46
0,0,1,1,0,1,"wet",0,0,0,1661.90085269464,0,5415.10438963565,0.545048227695586
1,0,1,1,0,1,"wet",10074.6028629558,0,0,1.9914997080253e-255,0,69.2466660611801,0.0408463554249985
0,1,1,1,0,1,"wet",0,3742.9676508044,0,0,0,7.63812621062088e-279,1.32360448028319e-279
1,1,1,1,0,1,"wet",5.61592532077823e-45,3742.9676508044,0,0,0,7.34082395124746e-279,1.65220895926627e-46
0,0,0,0,1,1,"wet",0,0,0,0,8541.21650090317,177.448724115955,0.099408756925035
1,0,0,0,1,1,"wet",2953.3891618733,0,0,0,8391.21142810233,1.07144513679412e-68,0.573406340878533
0,1,0,0,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,1.56075677000548e-253,0.669970939044619
1,1,0,0,1,1,"wet",2.58192414172891e-54,2701.35187468275,0,0,4176.34574853526,1.56218425084926e-253,0.669970939044619
0,0,1,0,1,1,"wet",0,0,0,0,8541.21672277401,177.448193675883,0.0994085240242408
1,0,1,0,1,1,"wet",2953.38916187329,0,0,0,8391.21142810233,1.18401859614745e-68,0.573406340878532
0,1,1,0,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,1.59585567185633e-253,0.669970939044619
1,1,1,0,1,1,"wet",2.44996902727621e-54,2701.35187468275,0,0,4176.34574853526,1.59789048203439e-253,0.669970939044619
0,0,0,1,1,1,"wet",0,0,0,9.0289819519306e-263,8541.2176436367,177.445992113222,0.0994075573800526
1,0,0,1,1,1,"wet",2953.38916187329,0,0,2.00874104589484e-315,8391.21142810233,8.28433954034359e-69,0.573406340878532
0,1,0,1,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,1.91643555533065e-253,0.669970939044619
