"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","diversity.desirability"
1,1,1,0,0,0,0,1,0,0,0,0,0,0.269028295678878,6.67104804468501e-25,0.578778036442145,0,0,0,0,3.12010691836702e-07,0,0,0,0,0.624840571301795
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.626369853641969,0,0,0,0.185161547666534,0,0,0,0,0.537047291658973
1,0,0,1,0,0,0,1,0,0,0,0,0,0.269028295678878,0,0,0.593930039350698,0,0,0,3.12010773829682e-07,0,0,0,0,0.620500171625391
0,1,0,1,0,0,0,1,0,0,0,0,0,0,2.19700508999582e-60,0,0.626369853641969,0,0,0,0.185161547666534,0,0,0,0,0.537047291658973
1,1,0,1,0,0,0,1,0,0,0,0,0,0.269028295678878,3.4655323892589e-56,0,0.59393003935071,0,0,0,3.12010713442325e-07,0,0,0,0,0.620500171624393
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.240236933270376,0.4206785766097,0,0,0,0.185161547666534,0,0,0,0,1.03741289394046
1,0,1,1,0,0,0,1,0,0,0,0,0,0.269028295678878,0,0.193929972398824,0.427886863393002,0,0,0,3.1201073648725e-07,0,0,0,0,1.04572732777667
0,1,1,1,0,0,0,1,0,0,0,0,0,0,8.70739254799472e-64,0.240236933270376,0.4206785766097,0,0,0,0.185161547666534,0,0,0,0,1.03741289394046
1,1,1,1,0,0,0,1,0,0,0,0,0,0.269028295678878,6.08203713752835e-59,0.193929972398834,0.427886863393,0,0,0,3.12010701759229e-07,0,0,0,0,1.04572732777614
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.688194252964562,0,0,0.126855819972209,0,0,0,0,0.432371717089079
1,0,0,0,1,0,0,1,0,0,0,0,0,0.362233577550042,0,0,0,0.622141844876495,0,0,2.18967970356268e-71,0,0,0,0,0.657873552283873
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.222995812829706,0,0,0.513527589377652,0,0,0.141654064625524,0,0,0,0,0.956107792524678
1,1,0,0,1,0,0,1,0,0,0,0,0,0.340810413884507,0.188560170317196,0,0,0.479143011565845,0,0,2.27781047277568e-56,0,0,0,0,1.0337217763114
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.61860171843521,0,4.4537109291631e-08,0,0,0.185161543638414,0,0,0,0,0.539721882034452
1,0,1,0,1,0,0,1,0,0,0,0,0,0.269028305652395,0,0.578778052032455,0,6.26090267165868e-08,0,0,2.62409426586299e-08,0,0,0,0,0.624836769814136
0,1,1,0,1,0,0,1,0,0,0,0,0,0,4.70862927420153e-30,0.618601716793863,0,4.68614174847365e-08,0,0,0.185161543428194,0,0,0,0,0.539721929041476
1,1,1,0,1,0,0,1,0,0,0,0,0,0.26902830625643,1.22878244228653e-24,0.578778049197735,0,6.64008696357941e-08,0,0,2.57447493337089e-08,0,0,0,0,0.624836831757184
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.395347314264763,0.357604326804912,0,0,0.154864316308989,0,0,0,0,1.03068123540543
1,0,0,1,1,0,0,1,0,0,0,0,0,0.318037733340556,0,0,0.364376436020597,0.327136202488417,0,0,7.91732639759576e-41,0,0,0,0,1.0968574957277
0,1,0,1,1,0,0,1,0,0,0,0,0,0,8.69507047718273e-52,0,0.395347314264763,0.357604326804912,0,0,0.154864316308989,0,0,0,0,1.03068123540543
1,1,0,1,1,0,0,1,0,0,0,0,0,0.318037733340556,4.7099493606368e-48,0,0.364376436020597,0.327136202488417,0,0,9.44394599707503e-41,0,0,0,0,1.0968574957277
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.129689806772338,0.363142859412083,0.235572249739324,0,0,0.165203214417739,0,0,0,0,1.3096025083917
1,0,1,1,1,0,0,1,0,0,0,0,0,0.311630451407808,0,0.0440556090055411,0.356659406104614,0.284377212665977,0,0,7.8855542435034e-35,0,0,0,0,1.22694338901817
0,1,1,1,1,0,0,1,0,0,0,0,0,0,9.79683193775318e-57,0.129689830342417,0.3631428561799,0.235572223268718,0,0,0.165203216801529,0,0,0,0,1.30960252654771
1,1,1,1,1,0,0,1,0,0,0,0,0,0.311628680798202,2.468119256329e-50,0.0440670424442093,0.356657771274432,0.284365570306523,0,0,9.31848538529346e-35,0,0,0,0,1.2269652144227
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.306606495780453,0,0.185161547666534,0,0,0,0,0.66233583754463
1,0,0,0,0,1,0,1,0,0,0,0,0,0.352095290900259,0,0,0,0,0.167345307651027,0,4.67040994347673e-39,0,0,0,0,0.628490225420089
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.483765192675532,0,0,0,0.306606495780453,0,0.185161547666534,0,0,0,0,1.02699820741508
1,1,0,0,0,1,0,1,0,0,0,0,0,0.352095290900259,0.484698872731937,0,0,0,0.167345307651027,0,4.67040343836182e-39,0,0,0,0,1.01766605699238
