"","Experimenta_plot","month","T_repens","T_pratense","P_trivialis","P_pratense","G_pratense","D_glomerata","A_elatius","A_sylvestris","A_pratensis","NEWSPS"
"325","B4B044","May",0,0,0,0,0,186.3,0,0,3.52,209
"326","B4B044","August",0,0,0,0,0,2.04,0,0,5,107.7
"327","B4B050","May",0,0,0,0,0,0,221.9,0,0,33.2
"328","B4B050","August",0,0.56,0,0,0,0,115,0,0,1.1
"329","B4B052","May",0,0,0,0,0,0,225.3,0,0,17.07
"330","B4B052","August",0,0,0,0,0,0,65,0,0,1.64
"331","B4B053","May",0,6.54,0,0,0,0,0,0,0,29.3
"332","B4B053","August",0,23.1,0,0,0,0,0,0,0,10.97
"333","B4B054","May",0,0,0,0,44.6,0,149.5,0,0,4.46
"334","B4B054","August",0,0,0,0,56,0,55.2,0,0,0.69
"335","B4B056","May",0,18.7,0,0,12.9,0,0,37.3,0,33.9
"336","B4B056","August",0,5.08,0,0,93.5,0,0,0,0,8.33
"337","B4B061","May",0,0,0,0,40.2,35,0,0,0,10.35
"338","B4B061","August",0,0,0,0,0,26.48,0,0,0,33
"339","B4B064","May",0,2.85,0,0,18.3,0,145,0,0,1.14
"340","B4B064","August",0,0,0,0,0,0,98.6,5.18,0,0.89
"341","B4B065","May",0,0,0,0,23.4,0,171.1,0,0,8.52
"342","B4B065","August",0,0,0,0,102.5,0,33.48,0,0,0
"343","B4B067","May",0,0,0,0,0,63.5,0,0,0,65
"344","B4B067","August",0,0,0,0,0,30.42,0,0,0,31
"345","B4B068","May",0,0,0,0,0,65.8,0,5.47,0,28
"346","B4B068","August",0,0,0,0,0,7.78,0,8.73,0,8.73
"347","B4B069","May",0,10.42,0,0,0,18.9,229.3,0,0,53
"348","B4B069","August",0,0.34,0,0,0,36,46,0,0,3.32
"349","B4B072","May",0,0,4.72,0,0,0,128,0,0,3.06
"350","B4B072","August",0,0,0.15,0,0,0,64.5,0,0,9.55
"351","B4B074","May",0,0,0,0,0,16.7,146.1,0,2.71,20.5
"352","B4B074","August",0,0,0,0,0,4.51,40.6,0,0.48,9.58
"353","B4B076","May",0,0,0,0,0,0,0,0,0,29.4
"354","B4B076","August",0,14.95,0,0,0,0,0,0,0,0.9
"355","B4B077","May",0,0,2.92,0,0,0,118.3,0,3.44,45.9
"356","B4B077","August",0,0,0,0,0,0,47.1,0,0,0
"357","B4B078","May",1.72,0,0,0,105.5,0,113.4,0,0,0.48
"358","B4B078","August",0,0,0,0,127.4,0,29.2,0,0,9.34
"359","B4B080","May",0,0.29,22.8,0,0,0,407.3,0,0,2.89
"360","B4B080","August",0,0,0,0,0,9.22,89.4,0,0,4.41
"361","B4B082","May",0,0.57,0,0,72.4,44.8,0,0,0,90.8
"362","B4B082","August",0,7.99,0,0,0,8.74,0,0,0.41,32.19
"363","B4B085","May",0,73,0,0,0,0,326.8,0,0.3,15.2
"364","B4B085","August",0,5.7,0,0,0,0,96.8,0,1.48,0
"365","B4B088","May",0.26,0,26.8,0,0,96,0,0,4.36,37
"366","B4B088","August",0,0,0.05,0,0,44,0,0,2.32,39.3
"367","B4B090","May",0,17.3,0,0,0,29.7,0,0,1.04,46.4
"368","B4B090","August",0,0,0,0,0,64,0,0,4.87,49.2
"369","B4B092","May",0,0,0,0,0,0,0,186,0,4.2
"370","B4B092","August",0,0,0,0,0,0,0,93,0,22.97
"371","B4B093","May",0,0,3.47,0,117.7,2.12,109.3,0,1.1,25.3
"372","B4B093","August",0,0,0,0,4.41,0.72,58,0,0.41,2.77
"373","B4B095","May",0,0,0,0,0,67.5,0,0,0,22
"374","B4B095","August",0,0,0.04,0,0,41,0,0,0,42.4
"375","B4B097","May",0,13,22,0,13.3,0,0,0,9.6,0
"376","B4B097","August",0,0.58,0,0,0,0,0,0,1.53,101
