"TREP.action","TPRA.action","PTRI.action","PPRA.action","GPRA.action","DGLO.action","AELA.action","ASYL.action","APRA.action","NEWSPS.action","month.initial","TREP.outcome","TPRA.outcome","PTRI.outcome","PPRA.outcome","GPRA.outcome","DGLO.outcome","AELA.outcome","ASYL.outcome","APRA.outcome","NEWSPS.outcome","diversity.desirability"
0,0,1,0,1,1,0,0,0,0,"August",0,0,0,0,48.7,58,0,0,0,13.47,0.962939804376879
0,0,1,0,0,0,0,1,0,0,"May",0,0,142.7,0,0,0,0,0,0,5.84,0.165764262736366
0,0,1,0,0,0,0,1,0,0,"August",0,0,0.002,0,0,0,0,0,0,43.1,0.000509403475338952
1,1,1,0,1,1,1,0,0,0,"May",0,16.4,10.52,0,17.6,58.5,179.8,0,0,1.93,1.10759842241869
1,1,1,0,1,1,1,0,0,0,"August",0,1.09,0.19,0,0,34.3,28.28,0,0,2.96,0.928099719983692
0,0,0,0,1,0,1,0,1,0,"May",0,0,0,0,5.17,0,150,0,32.2,1.31,0.617198943279537
0,0,0,0,1,0,1,0,1,0,"August",0,0,0,0,6.77,0,30.53,0,16.35,0,0.944150269076363
1,0,0,1,1,1,0,0,0,0,"May",0,0,0,0,0,140,0,0,0,5.32,0.157012958666354
1,0,0,1,1,1,0,0,0,0,"August",0,0,0,0,3.67,27.7,0,0,0,0.12,0.384539847088348
1,0,0,0,0,0,0,1,1,0,"May",0,0,0,0,0,0,0,0,0,42.6,0
1,0,0,0,0,0,0,1,1,0,"August",0,0,0,0,0,0,0,0,0,30.7,0
1,0,0,0,1,0,0,1,0,0,"May",0,0,0,0,152.5,0,0,0,0,1.39,0.0515065447705369
1,0,0,0,1,0,0,1,0,0,"August",0,0,0,0,165.1,0,0,0,0,4.68,0.126173506092679
0,0,1,1,0,1,0,0,0,0,"May",0,0,2.65,0,0,343.2,0,0,0,15.2,0.217626281689858
0,0,1,1,0,1,0,0,0,0,"August",0,0,0.06,0,0,93.5,0,0,0,10.22,0.326553368881301
0,0,0,1,0,1,0,0,0,0,"May",0,0,0,0,0,62.8,0,0,0,10.8,0.417010829229631
0,0,0,1,0,1,0,0,0,0,"August",0,0,0,0,0,42.3,0,0,0,13.19,0.548414799267205
0,0,1,1,0,1,0,1,0,0,"May",0,0,12,0,0,143.2,0,0,0,36.9,0.709128111006825
0,0,1,1,0,1,0,1,0,0,"August",0,0,0.09,0,0,61.5,0,0,0,0.07,0.0198202595711558
0,1,0,1,1,1,0,1,1,0,"May",0,0.69,0,0,76,42.7,0,0,7.7,9.6,1.0650978685568
0,1,0,1,1,1,0,1,1,0,"August",0,0,0,0,49,11.82,0,0,0,5.05,0.725256221863156
0,0,0,1,1,0,1,0,1,0,"May",0,0,0,4.97,31.7,0,116.5,0,5.57,6.31,0.907409710865091
0,0,0,1,1,0,1,0,1,0,"August",0,0,0,0,24,0,76.7,0,3.08,9.42,0.897565682961726
0,0,0,1,0,0,0,0,1,0,"May",0,0,0,10.37,0,0,0,0,300.7,1.2,0.170801424089304
0,0,0,1,0,0,0,0,1,0,"August",0,0,0,8,0,0,0,0,72.8,4.54,0.513552786701585
0,1,1,1,0,1,1,0,1,0,"May",0,57,10.25,0,0,40.3,320,0,14.76,0,0.917208360051087
0,1,1,1,0,1,1,0,1,0,"August",0,0,0,0.51,0,7.22,82.2,0,0.73,0,0.358293015603348
0,0,1,0,1,1,1,1,1,0,"May",0,0,8.1,0,36,90.1,183.7,0,86,1.97,1.34055572784091
0,0,1,0,1,1,1,1,1,0,"August",0,0,0.09,0,78,65,2,0,0,0,0.757021754302245
0,1,0,0,1,0,1,1,0,0,"May",0,0,0,0,0,0,443.9,0,0,0.6,0.0102683020821668
0,1,0,0,1,0,1,1,0,0,"August",0,0,0,0,9,0,70,0,0,0,0.354641673486248
0,0,1,0,1,0,0,0,1,0,"May",0,0,2.64,0,0,0,0,0,102.8,0,0.117045801483871
0,0,1,0,1,0,0,0,1,0,"August",0,0,0.02,0,0,0,0,0,29.43,7.73,0.5156327462883
0,1,1,0,0,0,0,0,0,0,"May",0,174.2,47.5,0,0,0,0,0,0,1.27,0.551694538013091
0,1,1,0,0,0,0,0,0,0,"August",0,180,0,0,0,0,0,0,0,8.99,0.19129308943633
1,1,0,1,0,0,0,0,1,0,"May",0,3.39,0,0,0,0,0,0,137.3,0.51,0.137083011636935
1,1,0,1,0,0,0,0,1,0,"August",0,0,0,0,0,0,0,0,31.56,7.16,0.478768568275658
0,0,1,1,0,0,0,0,1,0,"May",0,0,0.33,0,0,0,0,0,31.1,20,0.703862531230592
0,0,1,1,0,0,0,0,1,0,"August",0,0,0.02,0,0,0,0,0,17.8,11.2,0.672267590778982
0,0,1,0,0,0,1,0,0,0,"May",0,0,1.52,0,0,0,57.2,0,0,48.5,0.754390661700024
0,0,1,0,0,0,1,0,0,0,"August",0,0,0,0,0,0,95.2,0,0,18.16,0.439997400993494
0,0,1,0,0,0,1,1,0,0,"May",0,0,0,0,0,0,144.7,0,0,1.68,0.0626832539791011
0,0,1,0,0,0,1,1,0,0,"August",0,0,0,0,0,0,57,0,0,16.2,0.528562847322041
0,1,0,1,0,0,0,0,0,0,"May",0,148.6,0,16,0,0,0,0,0,7.5,0.484158500037626
0,1,0,1,0,0,0,0,0,0,"August",0,106,0,9.64,0,0,0,0,0,30.5,0.739261334919201
1,0,1,0,1,1,0,0,0,0,"May",0,0,3.02,0,72.3,90.7,0,0,0,2.31,0.827162278299385
1,0,1,0,1,1,0,0,0,0,"August",0,0,0,0,9.09,15.11,0,0,0,0,0.661879046174931
0,0,1,0,1,0,0,0,0,0,"May",0,0,60.9,0,65,0,0,0,0,5.78,0.842343705873725
0,0,1,0,1,0,0,0,0,0,"August",0,0,0,0,110.7,0,0,0,0,7.99,0.246646122697507
1,1,1,0,0,0,0,0,0,0,"May",0,0,33.5,0,0,0,0,0,0,2.81,0.272345991842095
1,1,1,0,0,0,0,0,0,0,"August",0,0,0,0,0,0,0,0,0,29.18,0
1,1,0,1,0,1,1,1,0,0,"May",0,0,0,0,0,56.1,189.3,0,0,3.34,0.601584625546849
1,1,0,1,0,1,1,1,0,0,"August",0,0,0,0,0,7.91,79.7,0,0,1.36,0.377642204544545
0,1,1,1,1,0,0,0,0,0,"May",0,0,37.2,0,76.3,0,0,0,0,8,0.833677526611224
0,1,1,1,1,0,0,0,0,0,"August",0,0,0,0,25.82,0,0,0,0,7.07,0.520453223154491
1,1,1,1,1,0,0,0,1,0,"May",0,75.1,3.42,0,21.6,0,0,0,41.2,3.97,1.1684741375162
1,1,1,1,1,0,0,0,1,0,"August",0,84.8,0,0,4,0,0,0,0.22,8.45,0.477945809969842
0,0,0,1,0,0,0,1,0,0,"May",0,0,0,0,0,0,0,0,0,5,0
0,0,0,1,0,0,0,1,0,0,"August",0,0,0,0,0,0,0,0,0,33.5,0
0,0,0,0,0,0,1,0,1,0,"May",0,0,0,0,0,0,83.7,0,42,22.2,0.964324907936053
0,0,0,0,0,0,1,0,1,0,"August",0,0,0,0,0,0,22.05,0,31.5,1.46,0.782016572752046
1,1,1,1,1,1,1,1,1,0,"May",0,14.46,17.3,0,6.57,4.07,161.3,0,0.94,1.43,0.832605080601904
1,1,1,1,1,1,1,1,1,0,"August",0,13.35,0,0,0,3.95,31.8,0,4.33,0.43,1.08967533921601
0,0,0,0,0,0,0,1,0,0,"May",0,25.3,0,0,0,0,0,0,0,0.22,0.0495626500565908
0,0,0,0,0,0,0,1,0,0,"August",0,9.47,0,0,0,0,0,0,0,6.89,0.680660203607908
0,0,1,0,0,0,1,0,0,0,"May",0,0,1.92,0,0,0,224,0,0,12.2,0.248607527623575
0,0,1,0,0,0,1,0,0,0,"August",0,0,0,0,0,0,72.2,0,0,0.7,0.0541654723049439
