"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action","temperature.initial","Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome","diversity.desirability"
0,1,0,1,0,0,23,0,0.0549089529825013,0,0.0418373813536616,0,0,0.683991605139558
0,1,0,1,0,0,25,0,0.00474500400033193,0,0.0210579750350552,0,0,0.477246542480041
0,1,0,1,0,0,25,0,0.014489256444048,0,0.145604405095518,0,0,0.303704360484312
0,1,1,1,0,0,15,0,0.0627005254976238,0.00288551042005788,0.0403263956033598,0,0,0.776169150183993
0,1,1,1,0,0,15,0,0.0473809940248997,0.00204137640140756,0.0513273656579332,0,0,0.777375972339088
0,1,1,1,0,0,17,0,0.0687928008794675,0.000330801913662226,0.0241799115412943,0,0,0.594646551372246
0,1,1,1,0,0,17,0,0.0329796576272996,0.00277797095329254,0.0172517220017781,0,0,0.815119682713413
0,1,1,1,0,0,19,0,0.0134502807282621,0.000911648979542005,0.0185732453628739,0,0,0.788048460638117
0,1,1,1,0,0,19,0,0.0664935485627477,0.000437448768415331,0.0252253031715687,0,0,0.615536715642337
0,1,1,1,0,0,21,0,0.0240995515721369,0.000889054594646439,0.00736307911729755,0,0,0.655016909346846
0,1,1,1,0,0,21,0,0.0737418128777593,0.000682234156725114,0.0262478047589311,0,0,0.612358837615143
0,1,1,1,0,0,23,0,0.015308756018612,0.000432890975961937,0.0153705890938477,0,0,0.75679733836203
0,1,1,1,0,0,23,0,0.0193235868324432,0.000117474780860503,0.0101614525536854,0,0,0.667406877499989
0,1,1,1,0,0,25,0,0.0129490008365275,0.00109383981903578,0.0240809630850493,0,0,0.758848362132852
0,1,1,1,0,0,25,0,0.00317433259921868,0.000493364746234692,0.00383179722665378,0,0,0.886028728914156
0,1,0,1,1,1,15,0,0.0194148393758638,0,0.0168470688661635,0.0899023071338855,0.0432253059697388,1.16256459970098
0,1,0,1,1,1,15,0,0.0225088025807811,0,0.0298808574223188,0.0835449554117183,0.00757875110690978,1.08755402608931
0,1,0,1,1,1,17,0,0.0160937573226052,0,0.0185132327931004,0.0587660405743987,0.0134881086148504,1.1788974408768
0,1,0,1,1,1,17,0,0.0228070133518396,0,0.00870479030975651,0.0392174548616393,0.0144829885329571,1.24417999848126
0,1,0,1,1,1,19,0,0.0197621041912545,0,0.00310356488901487,0.0126493638746099,0.0355529909301364,1.14634029574562
0,1,0,1,1,1,19,0,0.0223986175053009,0,0.0195158227988062,0.061708296447169,0.019489602847959,1.23999958023708
0,1,0,1,1,1,21,0,0.0112248088031539,0,0.00594440988736081,0.0287986736418931,0.00100978363956406,0.986153109318037
0,1,0,1,1,1,21,0,0.0111019067141482,0,0.00514018399988871,0.0129317114456769,0,1.03419989823714
0,1,0,1,1,1,23,0,0.0117041503001802,0,0.00788079877299656,0.00329632937332792,0.0293486395151581,1.11879343276215
0,1,0,1,1,1,23,0,0.00979554200085416,0,0.000117368031597822,0.0203363813806994,0.0254956894535473,1.04418146064117
0,1,0,1,1,1,25,0,0.0064470015677326,0,0.0329571052638928,0.01280011113221,0.00954895546265324,1.185863283041
0,1,0,1,1,1,25,0,0.00141151914570599,0,0.0133778425785612,0.00354699705663725,0.00187839542117899,0.985200677693449
0,1,0,0,1,0,15,0,0.0509147044702568,0,0,0.0507915605247556,0,0.693146447565258
0,1,0,0,1,0,15,0,0.0335038460559622,0,0,0.0395525101844912,0,0.689715789737111
0,1,0,0,1,0,17,0,0.00292180717746815,0,0,2.49473014087845e-05,0,0.048827375887361
0,1,0,0,1,0,17,0,0.00127989927713051,0,0,0.0432959883906039,0,0.13023891952273
0,1,0,0,1,0,19,0,0.0175611640754944,0,0,0.0159980769168731,0,0.692062081792093
0,1,0,0,1,0,19,0,0.0490095555733197,0,0,0.025162686961601,0,0.640534539566746
0,1,0,0,1,0,21,0,0,0,0,0,0,NA
0,1,0,0,1,0,21,0,0.0141587456314507,0,0,0.00152510430610318,0,0.318976919872209
